schema_version,campaign_id,stage_mode,attempt_id,sample_seq,model_id,expected_model_id,configured,valid,fault_code,q,evaluated_b_deg,evaluated_c_deg,evaluated_length_mm,diff_offset_x_mm,diff_offset_y_mm,diff_offset_z_mm,diff_offset_norm_mm,empirical_offset_x_mm,empirical_offset_y_mm,empirical_offset_z_mm,empirical_offset_norm_mm
1.0,2026082602.000000,32.000000,1.000000,1.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000333,-0.000023,229.407000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082602.000000,32.000000,1.000000,2.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.005988,-0.015431,-0.003467,0.016911
1.0,2026082602.000000,32.000000,1.000000,3.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.020456,-0.052718,-0.011843,0.057774
1.0,2026082602.000000,32.000000,1.000000,4.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,135.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.034929,-0.090018,-0.020222,0.098652
1.0,2026082602.000000,32.000000,1.000000,5.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,180.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.040929,-0.105481,-0.023695,0.115598
1.0,2026082602.000000,32.000000,1.000000,6.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,225.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.034941,-0.090050,-0.020229,0.098687
1.0,2026082602.000000,32.000000,1.000000,7.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,270.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.020473,-0.052763,-0.011853,0.057824
1.0,2026082602.000000,32.000000,1.000000,8.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,315.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.015463,-0.003474,0.016946
1.0,2026082602.000000,32.000000,1.000000,9.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082602.000000,32.000000,1.000000,10.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.004723,0.011136,0.002772,0.012410
1.0,2026082602.000000,32.000000,1.000000,11.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.000764,0.019197,0.007183,0.020511
1.0,2026082602.000000,32.000000,1.000000,12.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.019924,-0.007741,0.002891,0.021569
1.0,2026082602.000000,32.000000,1.000000,13.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,180.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.049057,-0.086008,-0.018182,0.100670
1.0,2026082602.000000,32.000000,1.000000,14.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,225.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.047433,-0.100275,-0.022530,0.113192
